State,state_fips,population_total,median_household_income,unemployment_rate_percent,educ_25plus_total,education_less_than_9th_count,education_less_than_9th_percent,education_ninth_to_twelfth_no_diploma_count,education_ninth_to_twelfth_no_diploma_percent,education_high_school_grad_count,education_high_school_grad_percent,education_some_college_no_degree_count,education_some_college_no_degree_percent,education_associates_count,education_associates_percent,education_bachelors_count,education_bachelors_percent,education_grad_professional_count,education_grad_professional_percent
South Carolina,45,5373555,67804,4.289211957844522,3745394,55054,1.4699121107151878,15471,0.41306735686552604,30438,0.8126781855260088,64135,1.7123699135524861,62779,1.6761654448103458,65736,1.755115750172078,1129407,30.15455783824078
Michigan,26,10037261,69183,4.463591355,7007856,104201,1.4869169686135104,15850,0.22617473875033964,25446,0.36310677616663356,89850,1.2821325095721143,91676,1.3081889810521221,106832,1.5244605482761062,2066444,29.48753513200043
Montana,30,1132812,70804,2.717270965956269,795845,5940,0.7463764929100516,1012,0.1271604395328236,1737,0.21825858050248478,10729,1.3481268337427514,6832,0.8584586194547933,8943,1.123711275,231901,29.13896550207641
Florida,12,22610726,73311,4.109937286125529,16421870,312184,1.9010258880383293,98769,0.6014479471582712,153581,0.9352223589639913,271004,1.6502627289096798,188268,1.1464467810304186,202932,1.2357423362869149,4778927,29.100991543594002
South Dakota,46,919318,71810,2.625467987,615517,8463,1.374941715663418,1052,0.17091323229090344,920,0.14946784572968738,7378,1.1986671367322104,6325,1.0275914393916008,9249,1.5026392447324768,177208,28.79010652833309
Wyoming,56,584057,72415,3.232530349528801,403853,4105,1.0164589590766937,243,0.060170409,1735,0.4296117646767512,3877,0.9600027732863196,4065,1.0065543650783824,5633,1.3948144498121842,115920,28.70351340710605
Georgia,13,11029227,74632,4.422478233161034,7448119,149460,2.0066811499655146,40095,0.538323837,69882,0.9382503152809455,154841,2.0789275788960944,115913,1.5562721272310498,117459,1.5770290458570817,2102473,28.22824125124746
Hawaii,15,1435138,95322,3.528159258312279,1024897,15882,1.5496191324591642,1968,0.19201929559750883,8420,0.8215459699852765,8791,0.8577447294703759,8851,0.8635989762873733,8945,0.8727706296340022,288442,28.143511006471872
New Hampshire,33,1402054,96838,2.5636654398153746,1030965,5698,0.5526860756669723,1412,0.13695906262579233,4187,0.40612435921685025,13426,1.3022750529843399,9193,0.891688855,13245,1.2847186858913735,289617,28.09183628930177
Rhode Island,44,1095962,84972,4.7659394916921025,786493,20723,2.634861340151788,5991,0.7617359595063148,6090,0.7743234841250971,17499,2.224940336404774,10366,1.3180028302858386,9344,1.1880588892717419,219587,27.919765338025893
